width,threads,cycles_max,speedup_vs_1,efficacite_globale
2,1,17038207,1.000000,1.000000
2,2,8682171,1.962436,0.981218
2,4,4661605,3.655009,0.913752
2,8,3233149,5.269849,0.658731
2,16,3003621,5.672556,0.354535
4,1,14662551,1.000000,1.000000
4,2,7329499,2.000485,1.000242
4,4,4181883,3.506208,0.876552
4,8,3242493,4.521999,0.565250
4,16,2987663,4.907699,0.306731
8,1,14686504,1.000000,1.000000
8,2,7219108,2.034393,1.017197
8,4,4170600,3.521437,0.880359
8,8,3199294,4.590545,0.573818
8,16,2989754,4.912278,0.307017
